name,url,remote,adaptive,test_type,description
ASP .NET with C# (New),/solutions/products/product-catalog/view/asp-net-with-c-new/,No,No,K,ASP .NET with C# (New) - K
ASP.NET 4.5,/solutions/products/product-catalog/view/asp-net-4-5/,No,No,K,ASP.NET 4.5 - K
Assessment and Development Center Exercises,/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,No,No,E,Assessment and Development Center Exercises - E
Automata - Fix (New),/solutions/products/product-catalog/view/automata-fix-new/,No,No,S,Automata - Fix (New) - S
Automata - SQL (New),/solutions/products/product-catalog/view/automata-sql-new/,No,No,S,Automata - SQL (New) - S
Automata (New),/solutions/products/product-catalog/view/automata-new/,No,No,S,Automata (New) - S
Automata Data Science (New),/solutions/products/product-catalog/view/automata-data-science-new/,No,No,S,Automata Data Science (New) - S
Automata Data Science Pro (New),/solutions/products/product-catalog/view/automata-data-science-pro-new/,No,No,S,Automata Data Science Pro (New) - S
Automata Front End,/solutions/products/product-catalog/view/automata-front-end/,No,No,S,Automata Front End - S
Automata Pro (New),/solutions/products/product-catalog/view/automata-pro-new/,No,No,S,Automata Pro (New) - S
Automata Selenium,/solutions/products/product-catalog/view/automata-selenium/,No,No,S,Automata Selenium - S
Automation Anywhere RPA Development (New),/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,No,No,K,Automation Anywhere RPA Development (New) - K
Automotive Engineering (New),/solutions/products/product-catalog/view/automotive-engineering-new/,No,No,K,Automotive Engineering (New) - K
Basic Biology (New),/solutions/products/product-catalog/view/basic-biology-new/,No,No,K,Basic Biology (New) - K
Basic Computer Literacy (Windows 10) (New),/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,No,No,"S
K","Basic Computer Literacy (Windows 10) (New) - S
K"
Basic Statistics (New),/solutions/products/product-catalog/view/basic-statistics-new/,No,No,K,Basic Statistics (New) - K
Biochemistry (New),/solutions/products/product-catalog/view/biochemistry-new/,No,No,K,Biochemistry (New) - K
Biotech Lab Techniques (New),/solutions/products/product-catalog/view/biotech-lab-techniques-new/,No,No,K,Biotech Lab Techniques (New) - K
BizTalk (New),/solutions/products/product-catalog/view/biztalk-new/,No,No,K,BizTalk (New) - K
Business Communication (adaptive),/solutions/products/product-catalog/view/business-communication-adaptive/,No,No,K,Business Communication (adaptive) - K
Business Communications,/solutions/products/product-catalog/view/business-communications/,No,No,K,Business Communications - K
C Programming (New),/solutions/products/product-catalog/view/c-programming-new/,No,No,K,C Programming (New) - K
C# Programming (New),/solutions/products/product-catalog/view/c-programming-new-4039/,No,No,K,C# Programming (New) - K
C++ Programming (New),/solutions/products/product-catalog/view/c-programming-new-4122/,No,No,K,C++ Programming (New) - K
Cardiology and Diabetes Management (New),/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,No,No,K,Cardiology and Diabetes Management (New) - K
Ceramic Engineering (New),/solutions/products/product-catalog/view/ceramic-engineering-new/,No,No,K,Ceramic Engineering (New) - K
Chemical Engineering (New),/solutions/products/product-catalog/view/chemical-engineering-new/,No,No,K,Chemical Engineering (New) - K
Cisco AppDynamics (New),/solutions/products/product-catalog/view/cisco-appdynamics-new/,No,No,K,Cisco AppDynamics (New) - K
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,No,No,K,Civil Engineering (New) - K
Cloud Computing (New),/solutions/products/product-catalog/view/cloud-computing-new/,No,No,K,Cloud Computing (New) - K
COBOL Programming (New),/solutions/products/product-catalog/view/cobol-programming-new/,No,No,K,COBOL Programming (New) - K
Computer Science (New),/solutions/products/product-catalog/view/computer-science-new/,No,No,K,Computer Science (New) - K
Contact Center Call Simulation (New),/solutions/products/product-catalog/view/contact-center-call-simulation-new/,No,No,S,Contact Center Call Simulation (New) - S
Conversational Multichat Simulation,/solutions/products/product-catalog/view/conversational-multichat-simulation/,No,No,S,Conversational Multichat Simulation - S
Core Java (Advanced Level) (New),/solutions/products/product-catalog/view/core-java-advanced-level-new/,No,No,K,Core Java (Advanced Level) (New) - K
Core Java (Entry Level) (New),/solutions/products/product-catalog/view/core-java-entry-level-new/,No,No,K,Core Java (Entry Level) (New) - K
Count Out The Money,/solutions/products/product-catalog/view/count-out-the-money/,No,No,"K
S","Count Out The Money - K
S"
CSS3 (New),/solutions/products/product-catalog/view/css3-new/,No,No,K,CSS3 (New) - K
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,No,No,K,Culinary Skills (New) - K
Customer Service Phone Simulation,/solutions/products/product-catalog/view/customer-service-phone-simulation/,No,No,"B
S","Customer Service Phone Simulation - B
S"
Customer Service Phone Solution,/solutions/products/product-catalog/view/customer-service-phone-solution/,No,No,"B
P
S","Customer Service Phone Solution - B
P
S"
Cyber Risk (New),/solutions/products/product-catalog/view/cyber-risk-new/,No,No,K,Cyber Risk (New) - K
Data Entry (New),/solutions/products/product-catalog/view/data-entry-new/,No,No,S,Data Entry (New) - S
Data Entry Alphanumeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,No,No,K,Data Entry Alphanumeric Split Screen - US - K
Data Entry Numeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,No,No,K,Data Entry Numeric Split Screen - US - K
Data Entry Ten Key Split Screen,/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,No,No,K,Data Entry Ten Key Split Screen - K
Data Science (New),/solutions/products/product-catalog/view/data-science-new/,No,No,K,Data Science (New) - K
Data Warehousing Concepts,/solutions/products/product-catalog/view/data-warehousing-concepts/,No,No,K,Data Warehousing Concepts - K
Dependability and Safety Instrument (DSI),/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,No,No,P,Dependability and Safety Instrument (DSI) - P
Dermatology (New),/solutions/products/product-catalog/view/dermatology-new/,No,No,K,Dermatology (New) - K
Desktop Support (New),/solutions/products/product-catalog/view/desktop-support-new/,No,No,K,Desktop Support (New) - K
Digital Advertising (New),/solutions/products/product-catalog/view/digital-advertising-new/,No,No,K,Digital Advertising (New) - K
Digital Readiness Development Report - IC,/solutions/products/product-catalog/view/digital-readiness-development-report/,No,No,P,Digital Readiness Development Report - IC - P
Digital Readiness Development Report - Manager,/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,No,No,P,Digital Readiness Development Report - Manager - P
Docker (New),/solutions/products/product-catalog/view/docker-new/,No,No,K,Docker (New) - K
Dojo (New),/solutions/products/product-catalog/view/dojo-new/,No,No,K,Dojo (New) - K
Drupal (New),/solutions/products/product-catalog/view/drupal-new/,No,No,K,Drupal (New) - K
DSI v1.1 Interpretation Report,/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,No,No,P,DSI v1.1 Interpretation Report - P
Econometrics (New),/solutions/products/product-catalog/view/econometrics-new/,No,No,K,Econometrics (New) - K
Economics (New),/solutions/products/product-catalog/view/economics-new/,No,No,K,Economics (New) - K
Electrical and Electronics Engineering (New),/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,No,No,K,Electrical and Electronics Engineering (New) - K
Electrical Engineering (New),/solutions/products/product-catalog/view/electrical-engineering-new/,No,No,K,Electrical Engineering (New) - K
Electronics & Telecommunications Engineering (New),/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,No,No,K,Electronics & Telecommunications Engineering (New) - K
Electronics and Embedded Systems Engineering (New),/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,No,No,K,Electronics and Embedded Systems Engineering (New) - K
Electronics and Semiconductor Engineering (New),/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,No,No,K,Electronics and Semiconductor Engineering (New) - K
English Comprehension (New),/solutions/products/product-catalog/view/english-comprehension-new/,No,No,K,English Comprehension (New) - K
Enterprise Java Beans (New),/solutions/products/product-catalog/view/enterprise-java-beans-new/,No,No,K,Enterprise Java Beans (New) - K
Enterprise Leadership Report 1.0,/solutions/products/product-catalog/view/enterprise-leadership-report/,No,No,P,Enterprise Leadership Report 1.0 - P
Enterprise Leadership Report 2.0,/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,No,No,P,Enterprise Leadership Report 2.0 - P
Entry Level Cashier Solution,/solutions/products/product-catalog/view/entry-level-cashier-solution/,No,No,"C
P","Entry Level Cashier Solution - C
P"
Entry Level Customer Serv-Retail & Contact Center,/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,No,No,"P
C","Entry Level Customer Serv-Retail & Contact Center - P
C"
Entry Level Customer Service (General) Solution,/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,No,No,"C
P","Entry Level Customer Service (General) Solution - C
P"
Entry Level Hotel Front Desk Solution,/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,No,No,"C
P","Entry Level Hotel Front Desk Solution - C
P"
Entry Level Sales Solution,/solutions/products/product-catalog/view/entry-level-sales-solution/,No,No,"C
P","Entry Level Sales Solution - C
P"
Entry Level Technical Support Solution,/solutions/products/product-catalog/view/entry-level-technical-support-solution/,No,No,"P
C","Entry Level Technical Support Solution - P
C"
ETL Testing (New),/solutions/products/product-catalog/view/etl-testing-new/,No,No,K,ETL Testing (New) - K
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,No,No,B,Executive Scenarios - B
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,No,No,B,Executive Scenarios Narrative Report - B
Executive Scenarios Profile Report,/solutions/products/product-catalog/view/executive-scenarios-profile-report/,No,No,B,Executive Scenarios Profile Report - B
ExpressJS (New),/solutions/products/product-catalog/view/expressjs-new/,No,No,K,ExpressJS (New) - K
Filing - Names (R1),/solutions/products/product-catalog/view/filing-names-r1/,No,No,K,Filing - Names (R1) - K
Filing - Numbers,/solutions/products/product-catalog/view/filing-numbers/,No,No,K,Filing - Numbers - K
Financial Accounting (New),/solutions/products/product-catalog/view/financial-accounting-new/,No,No,K,Financial Accounting (New) - K
Financial and Banking Services (New),/solutions/products/product-catalog/view/financial-and-banking-services-new/,No,No,K,Financial and Banking Services (New) - K
Fire Engineering (New),/solutions/products/product-catalog/view/fire-engineering-new/,No,No,K,Fire Engineering (New) - K
Following Instructions v1 - UK (R1),/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,No,No,K,Following Instructions v1 - UK (R1) - K
Following Instructions v1 - US (R2),/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,No,No,K,Following Instructions v1 - US (R2) - K
Food and Beverage Services (New),/solutions/products/product-catalog/view/food-and-beverage-services-new/,No,No,K,Food and Beverage Services (New) - K
Food Science (New),/solutions/products/product-catalog/view/food-science-new/,No,No,K,Food Science (New) - K
Front Office Management (New),/solutions/products/product-catalog/view/front-office-management-new/,No,No,K,Front Office Management (New) - K
Fundamentals of Chemistry (New),/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,No,No,K,Fundamentals of Chemistry (New) - K
Fundamentals of Physics (New),/solutions/products/product-catalog/view/fundamentals-of-physics-new/,No,No,K,Fundamentals of Physics (New) - K
General Diseases (New),/solutions/products/product-catalog/view/general-diseases-new/,No,No,K,General Diseases (New) - K
Geoinformatics Engineering (New),/solutions/products/product-catalog/view/geoinformatics-engineering-new/,No,No,K,Geoinformatics Engineering (New) - K
Geoscience Engineering (New),/solutions/products/product-catalog/view/geoscience-engineering-new/,No,No,K,Geoscience Engineering (New) - K
GIT (New),/solutions/products/product-catalog/view/git-new/,No,No,K,GIT (New) - K
Global Skills Assessment,/solutions/products/product-catalog/view/global-skills-assessment/,No,No,"C
K","Global Skills Assessment - C
K"
Graduate Scenarios,/solutions/products/product-catalog/view/graduate-scenarios/,No,No,B,Graduate Scenarios - B
Graduate Scenarios Narrative Report,/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,No,No,B,Graduate Scenarios Narrative Report - B
Graduate Scenarios Profile Report,/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,No,No,B,Graduate Scenarios Profile Report - B
Hibernate (New),/solutions/products/product-catalog/view/hibernate-new/,No,No,K,Hibernate (New) - K
HIPAA (Security),/solutions/products/product-catalog/view/hipaa-security/,No,No,K,HIPAA (Security) - K
HiPo Assessment Report 1.0,/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,No,No,"C
P","HiPo Assessment Report 1.0 - C
P"
HiPo Assessment Report 2.0,/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,No,No,"C
P","HiPo Assessment Report 2.0 - C
P"
HiPo Unlocking Potential Report 2.0,/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,No,No,C,HiPo Unlocking Potential Report 2.0 - C
Housekeeping (New),/solutions/products/product-catalog/view/housekeeping-new/,No,No,K,Housekeeping (New) - K
HTML/CSS (New),/solutions/products/product-catalog/view/htmlcss-new/,No,No,K,HTML/CSS (New) - K
HTML5 (New),/solutions/products/product-catalog/view/html5-new/,No,No,K,HTML5 (New) - K
Human Resources (New),/solutions/products/product-catalog/view/human-resources-new/,No,No,K,Human Resources (New) - K
IBM DataStage (New),/solutions/products/product-catalog/view/ibm-datastage-new/,No,No,K,IBM DataStage (New) - K
IBM Sterling Order Management System (New),/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,No,No,K,IBM Sterling Order Management System (New) - K
Industrial Engineering (New),/solutions/products/product-catalog/view/industrial-engineering-new/,No,No,K,Industrial Engineering (New) - K
Informatica (Architecture) (New),/solutions/products/product-catalog/view/informatica-architecture-new/,No,No,K,Informatica (Architecture) (New) - K
Informatica (Developer) (New),/solutions/products/product-catalog/view/informatica-developer-new/,No,No,K,Informatica (Developer) (New) - K
Instrumentation Engineering (New),/solutions/products/product-catalog/view/instrumentation-engineering-new/,No,No,K,Instrumentation Engineering (New) - K
Interpersonal Communications,/solutions/products/product-catalog/view/interpersonal-communications/,No,No,K,Interpersonal Communications - K
Interviewing and Hiring Concepts (U.S.),/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,No,No,K,Interviewing and Hiring Concepts (U.S.) - K
iOS Development (New),/solutions/products/product-catalog/view/ios-development-new/,No,No,K,iOS Development (New) - K
ITIL (IT Infrastructure Library) (New),/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,No,No,K,ITIL (IT Infrastructure Library) (New) - K
Java 2 Platform Enterprise Edition 1.4 Fundamental,/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,No,No,K,Java 2 Platform Enterprise Edition 1.4 Fundamental - K
Java 8 (New),/solutions/products/product-catalog/view/java-8-new/,No,No,K,Java 8 (New) - K
Java Design Patterns (New),/solutions/products/product-catalog/view/java-design-patterns-new/,No,No,K,Java Design Patterns (New) - K
Java Frameworks (New),/solutions/products/product-catalog/view/java-frameworks-new/,No,No,K,Java Frameworks (New) - K
Java Platform Enterprise Edition 7 (Java EE 7),/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,No,No,K,Java Platform Enterprise Edition 7 (Java EE 7) - K
Java Web Services (New),/solutions/products/product-catalog/view/java-web-services-new/,No,No,K,Java Web Services (New) - K
JavaScript (New),/solutions/products/product-catalog/view/javascript-new/,No,No,K,JavaScript (New) - K
Jenkins (New),/solutions/products/product-catalog/view/jenkins-new/,No,No,K,Jenkins (New) - K
Job Control Language (New),/solutions/products/product-catalog/view/job-control-language-new/,No,No,K,Job Control Language (New) - K
jQuery (New),/solutions/products/product-catalog/view/jquery-new/,No,No,K,jQuery (New) - K
Kubernetes (New),/solutions/products/product-catalog/view/kubernetes-new/,No,No,K,Kubernetes (New) - K
Linux Administration (New),/solutions/products/product-catalog/view/linux-administration-new/,No,No,K,Linux Administration (New) - K
Linux Operating System,/solutions/products/product-catalog/view/linux-operating-system/,No,No,K,Linux Operating System - K
Linux Programming (General),/solutions/products/product-catalog/view/linux-programming-general/,No,No,K,Linux Programming (General) - K
Load Runner (New),/solutions/products/product-catalog/view/load-runner-new/,No,No,K,Load Runner (New) - K
Management Scenarios,/solutions/products/product-catalog/view/management-scenarios/,No,No,B,Management Scenarios - B
Managerial Scenarios Candidate Report,/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,No,No,B,Managerial Scenarios Candidate Report - B
Managerial Scenarios Narrative Report,/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,No,No,B,Managerial Scenarios Narrative Report - B
Managerial Scenarios Profile Report,/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,No,No,B,Managerial Scenarios Profile Report - B
Manual Testing (New),/solutions/products/product-catalog/view/manual-testing-new/,No,No,K,Manual Testing (New) - K
Manufac. & Indust. - Mechanical & Vigilance 8.0,/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,No,No,"A
P","Manufac. & Indust. - Mechanical & Vigilance 8.0 - A
P"
Manufac. & Indust. - Safety & Dependability 8.0,/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,No,No,P,Manufac. & Indust. - Safety & Dependability 8.0 - P
Manufacturing & Industrial - Essential Focus 8.0,/solutions/products/product-catalog/view/essential-focus-8-0/,No,No,P,Manufacturing & Industrial - Essential Focus 8.0 - P
Manufacturing & Industrial - Mechanical Focus 8.0,/solutions/products/product-catalog/view/mechanical-focus-8-0/,No,No,"A
P","Manufacturing & Industrial - Mechanical Focus 8.0 - A
P"
Manufacturing & Industrial - Vigilance Focus 8.0,/solutions/products/product-catalog/view/vigilance-focus-8-0/,No,No,"A
P","Manufacturing & Industrial - Vigilance Focus 8.0 - A
P"
Marketing (New),/solutions/products/product-catalog/view/marketing-new/,No,No,K,Marketing (New) - K
Maven (New),/solutions/products/product-catalog/view/maven-new/,No,No,K,Maven (New) - K
Mechanical Engineering (New),/solutions/products/product-catalog/view/mechanical-engineering-new/,No,No,K,Mechanical Engineering (New) - K
Mechatronics Engineering (New),/solutions/products/product-catalog/view/mechatronics-engineering-new/,No,No,K,Mechatronics Engineering (New) - K
Medical Terminology (New),/solutions/products/product-catalog/view/medical-terminology-new/,No,No,K,Medical Terminology (New) - K
Metallurgical Engineering (New),/solutions/products/product-catalog/view/metallurgical-engineering-new/,No,No,K,Metallurgical Engineering (New) - K
MFS 360 Enterprise Leadership Report,/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,No,No,D,MFS 360 Enterprise Leadership Report - D
MFS 360 UCF Group Report,/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,No,No,D,MFS 360 UCF Group Report - D
MFS 360 UCF Performance Potential Dev Tips Report,/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,No,No,D,MFS 360 UCF Performance Potential Dev Tips Report - D
MFS 360 UCF Standard Report,/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,No,No,D,MFS 360 UCF Standard Report - D
Micro Focus Unified Functional Testing (New),/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,No,No,K,Micro Focus Unified Functional Testing (New) - K
Microservices (New),/solutions/products/product-catalog/view/microservices-new/,No,No,K,Microservices (New) - K
Microsoft Dynamics Development (New),/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,No,No,K,Microsoft Dynamics Development (New) - K
Microsoft Excel 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,No,No,"K
S","Microsoft Excel 365 - Essentials (New) - K
S"
Microsoft Excel 365 (New),/solutions/products/product-catalog/view/microsoft-excel-365-new/,No,No,"K
S","Microsoft Excel 365 (New) - K
S"
Microsoft Outlook 2013 (adaptive),/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,No,No,K,Microsoft Outlook 2013 (adaptive) - K
Microsoft PowerPoint 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,No,No,"K
S","Microsoft PowerPoint 365 - Essentials (New) - K
S"
Microsoft SQL Server 2014 Programming,/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,No,No,K,Microsoft SQL Server 2014 Programming - K
Microsoft Windows Server 2012 Administration,/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,No,No,K,Microsoft Windows Server 2012 Administration - K
Microsoft Word 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,No,No,"K
S","Microsoft Word 365 - Essentials (New) - K
S"
Microsoft Word 365 (New),/solutions/products/product-catalog/view/microsoft-word-365-new/,No,No,"S
K","Microsoft Word 365 (New) - S
K"
Mineral Engineering (New),/solutions/products/product-catalog/view/mineral-engineering-new/,No,No,K,Mineral Engineering (New) - K
Mining Engineering (New),/solutions/products/product-catalog/view/mining-engineering-new/,No,No,K,Mining Engineering (New) - K
Mobility (New),/solutions/products/product-catalog/view/mobility-new/,No,No,K,Mobility (New) - K
Molecular Biology (New),/solutions/products/product-catalog/view/molecular-biology-new/,No,No,K,Molecular Biology (New) - K
MongoDB (New),/solutions/products/product-catalog/view/mongodb-new/,No,No,K,MongoDB (New) - K
Motivation Questionnaire MQM5,/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,No,No,P,Motivation Questionnaire MQM5 - P
MQ Candidate Motivation Report,/solutions/products/product-catalog/view/mq-candidate-motivation-report/,No,No,P,MQ Candidate Motivation Report - P
MQ Employee Motivation Report,/solutions/products/product-catalog/view/mq-employee-motivation-report/,No,No,P,MQ Employee Motivation Report - P
MQ Motivation Report Pack,/solutions/products/product-catalog/view/mq-motivation-report-pack/,No,No,P,MQ Motivation Report Pack - P
MQ Profile,/solutions/products/product-catalog/view/mq-profile/,No,No,P,MQ Profile - P
MS Access (New),/solutions/products/product-catalog/view/ms-access-new/,No,No,K,MS Access (New) - K
MS Excel (New),/solutions/products/product-catalog/view/ms-excel-new/,No,No,K,MS Excel (New) - K
MS Office Basic Computer Literacy (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,No,No,K,MS Office Basic Computer Literacy (New) - K
MS Office Basic Computer Literacy (Sim) (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,No,No,S,MS Office Basic Computer Literacy (Sim) (New) - S
MS PowerPoint (New),/solutions/products/product-catalog/view/ms-powerpoint-new/,No,No,K,MS PowerPoint (New) - K
MS Word (New),/solutions/products/product-catalog/view/ms-word-new/,No,No,K,MS Word (New) - K
MuleSoft Development (New),/solutions/products/product-catalog/view/mulesoft-development-new/,No,No,K,MuleSoft Development (New) - K
Multitasking Ability,/solutions/products/product-catalog/view/multitasking-ability/,No,No,"A
K
S","Multitasking Ability - A
K
S"
Networking and Implementation (New),/solutions/products/product-catalog/view/networking-and-implementation-new/,No,No,K,Networking and Implementation (New) - K
Node.js (New),/solutions/products/product-catalog/view/node-js-new/,No,No,K,Node.js (New) - K
Nursing (New),/solutions/products/product-catalog/view/nursing-new/,No,No,K,Nursing (New) - K
Occupational Personality Questionnaire OPQ32r,/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,No,No,P,Occupational Personality Questionnaire OPQ32r - P
Operations Management (New),/solutions/products/product-catalog/view/operations-management-new/,No,No,K,Operations Management (New) - K
OPQ Candidate Plus Report,/solutions/products/product-catalog/view/opq-candidate-plus-report/,No,No,P,OPQ Candidate Plus Report - P
OPQ Candidate Report 2.0,/solutions/products/product-catalog/view/opq-candidate-report-2-0/,No,No,P,OPQ Candidate Report 2.0 - P
OPQ Emotional Intelligence Report,/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,No,No,P,OPQ Emotional Intelligence Report - P
OPQ Leadership Report,/solutions/products/product-catalog/view/opq-leadership-report/,No,No,P,OPQ Leadership Report - P
OPQ Manager Plus Report,/solutions/products/product-catalog/view/opq-manager-plus-report/,No,No,P,OPQ Manager Plus Report - P
OPQ Manager Plus Report 2.0,/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,No,No,P,OPQ Manager Plus Report 2.0 - P
OPQ Maximising your Learning Report,/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,No,No,P,OPQ Maximising your Learning Report - P
OPQ MQ Sales Report,/solutions/products/product-catalog/view/opq-mq-sales-report/,No,No,P,OPQ MQ Sales Report - P
OPQ Premium Plus Report,/solutions/products/product-catalog/view/opq-premium-plus-report/,No,No,P,OPQ Premium Plus Report - P
OPQ Premium Plus Report 2.0,/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,No,No,P,OPQ Premium Plus Report 2.0 - P
